"UPM","VIV_SEL","P1_1","P1_2","P1_3","P1_3A","P1_4","P1_5","P1_6","P1_7","P1_7A","P1_8","P1_9","P1_10","P1_11","P1_12_1","P1_12_2","P1_12_3","P1_12_4","P1_12_5","P1_12_6","P1_12_7","P2_1","P2_2","P2_3","ENT","MENOR10","TLOC","EST_DIS","UPM_DIS","FAC_VIV"
"0000001","01","3","1","01","04","1","1","2","1","1","1","1","1","1","2","2","1","1","2","1","1","01","1","","01","2","1","002","0000001",393
"0000001","02","3","1","04","05","1","1","2","1","1","1","1","1","1","2","2","1","1","2","2","2","04","1","","01","2","1","002","0000001",393
"0000001","03","3","1","03","05","1","1","1","1","1","1","1","1","1","2","2","1","2","2","1","1","03","1","","01","2","1","002","0000001",393
"0000001","04","2","1","02","04","1","1","2","1","1","1","1","1","1","2","2","1","1","1","1","1","04","1","","01","2","1","002","0000001",393
"0000001","05","3","1","02","06","1","1","1","1","1","1","1","1","1","2","2","2","2","2","1","2","05","1","","01","2","1","002","0000001",393
"0000002","01","3","1","02","06","1","1","1","1","1","1","1","1","1","2","2","2","2","2","1","2","03","1","","01","2","1","002","0000002",413
"0000002","02","3","1","02","04","1","1","2","1","1","1","1","1","1","2","2","2","2","2","2","2","02","1","","01","2","1","002","0000002",413
"0000002","03","3","1","02","04","1","1","1","1","1","1","1","1","1","2","2","2","2","2","1","1","03","1","","01","2","1","002","0000002",413
"0000002","04","2","1","01","02","1","1","2","1","1","1","1","1","1","2","2","1","2","2","1","1","01","1","","01","2","1","002","0000002",413
"0000002","05","3","1","01","02","1","1","1","1","1","1","1","1","1","2","2","1","1","2","1","1","02","1","","01","2","1","002","0000002",413
"0000003","01","3","1","03","04","1","3","1","1","1","1","1","1","1","1","2","2","2","2","1","2","03","1","","01","2","1","001","0000003",323
"0000003","02","3","1","02","04","1","1","2","1","1","1","1","1","1","2","2","1","2","2","1","2","03","1","","01","2","1","001","0000003",323
"0000003","03","3","1","03","06","1","5","1","1","1","1","1","1","1","2","2","1","2","2","1","2","04","1","","01","2","1","001","0000003",323
"0000003","04","2","2","02","03","1","1","1","1","1","1","1","1","1","2","1","1","1","2","1","1","04","1","","01","2","1","001","0000003",323
"0000003","05","3","1","02","05","1","3","1","1","1","1","1","1","1","1","2","1","1","2","1","1","02","1","","01","2","1","001","0000003",323
"0000004","02","2","2","01","01","1","1","2","1","1","1","1","1","1","2","1","1","1","2","1","1","04","1","","01","2","1","002","0000004",446
"0000005","01","2","1","01","01","1","5","1","1","1","1","1","1","1","2","1","1","1","2","1","1","03","1","","01","2","1","002","0000005",375
"0000005","03","3","1","05","08","1","1","2","1","1","1","1","1","1","2","2","1","2","2","1","2","05","1","","01","2","1","002","0000005",375
"0000005","04","2","1","01","03","1","1","2","1","1","1","1","1","1","2","1","1","1","2","1","1","04","1","","01","2","1","002","0000005",375
"0000005","05","3","1","01","04","1","1","1","1","1","1","1","1","1","2","2","1","2","2","1","2","01","1","","01","2","1","002","0000005",375
