Entidad,Sexo,Edad,TrabajoAlMenos1Hora,TiempoTrabajoLV,TiempoTrabajoSD,TiempoTrasladoLV,TiempoTrasladoSD,Salario,PermisoEnfermedadMaternidadAccidente,PermisoVacaciones,DerechoJubilación,DerechoServiciosMedicos,TiempoDedicadoADormirLV,TiempoDedicadoADormirSD,TiempoDedicadoAComerLV,TiempoDedicadoAComerSD,TiempoDedicadoAAseoPersonalLV,TiempoDedicadoAAseoPersonalSD,TiempoDedicadoAActividadesEstudioLV,TiempoDedicadoAActividadesEstudioSD,TiempoDedicadoATrasladarEstudianteLV,TiempoDedicadoATrasladarEstudianteSD,QuehaceresDomésticosLV,QuehaceresDomésticosSD,TiempoGanaderíaAutoconsumoLV,TiempoGanaderíaAutoconsumoSD,TiempoActividadesRecolecciónLV,TiempoActividadesRecolecciónSD,TiempoAgriculturaAutoconsumoLV,TiempoAgriculturaAutoconsumoSD,TiempoConfecciónCaseraLV,TiempoConfecciónCaseraSD,TiempoMantenimientoHogarLV,TiempoMantenimientoHogarSD,TiempoComprasDelHogarLV,TiempoComprasDelHogarSD,TiempoTramitesPagosLV,TiempoTramitesPagosSD,TiempoOrganizaciónHogarLV,TiempoOrganizaciónHogarSD,TiempoMantenimientoHogarTercerosLV,TiempoMantenimientoHogarTercerosSD,TiempoCuidadosEspecialesOtraPersonaLV,TiempoCuidadosEspecialesOtraPersonaSD,TiempoCrianzaMenores0a5LV,TiempoCrianzaMenores0a5SD,TiempoCrianzaMenores0a14LV,TiempoCrianzaMenores0a14SD,TiempoAcompañamientoFamiliar15a59LV,TiempoAcompañamientoFamiliar15a59SD,TiempoAcompañamientoFamiliar60LV,TiempoAcompañamientoFamiliar60SD,TiempoApoyoOtroHogarLV,TiempoApoyoOtroHogarSD,TiempoVoluntariadoLV,TiempoVoluntariadoSD,TiempoActividadesRecreativasLV,TiempoActividadesRecreativasSD,TiempoAtenciónSaludLV,TiempoAtenciónSaludSD,SentimientoQuehaceresHogar,SentimientoEstudio,SentimientoTrabajo,SentimientoCuidadoApoyoFamiliares,SentimientoOcioConvivencia,SentimientoTraslado,SentimientoTramitesPagos,SentimientoVidaGeneral,SentimientoVidaFamiliar,SentimientoVidaAfectiva,SentimientoVidaSocial,SentimientoSituaciónEconómica,SentimientoVivienda,SentimientoFelicidadGeneral
29,Mujer,17,No,0.0,0.0,0.0,0.0,0.0,No especificado,No especificado,No especificado,No especificado,40.0,16.0,15.0,12.0,7.916666666666667,4.0,45.0,2.0,5.0,0.0,15.583333333333334,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.1666666666666666,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,10.833333333333332,10.0,0.0,0.0,5.0,4.0,1.25,2.0,0.0,0.0,82.0,10.0,0.0,0.0,Quisiera dedicarle mas tiempo,Quisiera dedicarle mas tiempo,No aplica (no hizo la actividad),Quisiera dedicarle mas tiempo,Esta bien el tiempo que le dedico,Esta bien el tiempo que le dedico,No aplica (no hizo la actividad),Satisfecho(a),Muy satisfecho(a),Satisfecho(a),Mas o menos satisfecho(a),Satisfecho(a),Muy satisfecho(a),Muy Feliz
9,Mujer,58,Si,50.0,0.0,7.5,0.0,156000.0,Si,Si,Si,Si,25.0,16.0,7.5,0.0,10.0,4.0,0.0,0.0,0.0,0.0,24.08333333333333,15.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,5.0,7.0,0.0,0.0,Quisiera dedicarle mas tiempo,No aplica (no hizo la actividad),Esta bien el tiempo que le dedico,No aplica (no hizo la actividad),No aplica (no hizo la actividad),Esta bien el tiempo que le dedico,No aplica (no hizo la actividad),Satisfecho(a),Satisfecho(a),Satisfecho(a),Satisfecho(a),Satisfecho(a),Satisfecho(a),Feliz
15,Hombre,81,No,0.0,0.0,0.0,0.0,0.0,No especificado,No especificado,No especificado,No especificado,40.0,16.0,2.5,1.0,2.5,1.0,0.0,0.0,0.0,0.0,10.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.5,6.0,0.0,0.0,Esta bien el tiempo que le dedico,No aplica (no hizo la actividad),No aplica (no hizo la actividad),No aplica (no hizo la actividad),No aplica (no hizo la actividad),No aplica (no hizo la actividad),No aplica (no hizo la actividad),Poco satisfecho(a),Mas o menos satisfecho(a),Mas o menos satisfecho(a),Mas o menos satisfecho(a),Mas o menos satisfecho(a),Satisfecho(a),Poco feliz
6,Hombre,23,Si,60.0,10.0,1.6666666666666663,0.25,104000.0,Si,Si,Si,Si,32.0,12.0,2.5,1.0,5.166666666666667,2.1666666666666665,0.0,0.0,0.0,0.0,5.166666666666666,2.1666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.383333333333335,15.5,0.0,0.0,Esta bien el tiempo que le dedico,No aplica (no hizo la actividad),Quisiera dedicarle menos tiempo,No aplica (no hizo la actividad),Esta bien el tiempo que le dedico,Esta bien el tiempo que le dedico,No aplica (no hizo la actividad),Mas o menos satisfecho(a),Satisfecho(a),Mas o menos satisfecho(a),Mas o menos satisfecho(a),Satisfecho(a),Satisfecho(a),Mas o menos feliz
16,Mujer,29,Si,40.0,8.0,1.3333333333333333,0.6666666666666666,59800.0,No,No,No,No,35.0,14.0,2.5,1.0,2.583333333333333,1.0,0.0,0.0,0.0,0.0,17.333333333333332,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,0.0,0.0,0.3333333333333333,0.4166666666666667,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,27.0,8.0,0.0,0.0,27.5,10.0,0.0,0.0,Esta bien el tiempo que le dedico,No aplica (no hizo la actividad),Esta bien el tiempo que le dedico,Quisiera dedicarle mas tiempo,Esta bien el tiempo que le dedico,Esta bien el tiempo que le dedico,Esta bien el tiempo que le dedico,Satisfecho(a),Muy satisfecho(a),Poco satisfecho(a),Mas o menos satisfecho(a),Mas o menos satisfecho(a),Satisfecho(a),Feliz
24,Hombre,60,Si,50.0,0.0,5.0,0.0,156000.0,Si,Si,Si,Si,40.0,16.0,2.5,4.0,2.5,1.0,0.0,0.0,0.0,0.0,0.9166666666666669,7.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666667,0.1666666666666666,0.0,0.0,1.25,0.0,2.5,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,10.083333333333334,3.833333333333333,0.0,0.0,Quisiera dedicarle mas tiempo,No aplica (no hizo la actividad),Quisiera dedicarle menos tiempo,Quisiera dedicarle mas tiempo,Quisiera dedicarle mas tiempo,Quisiera dedicarle menos tiempo,Esta bien el tiempo que le dedico,Satisfecho(a),Satisfecho(a),Satisfecho(a),Satisfecho(a),Poco satisfecho(a),Satisfecho(a),Feliz
32,Mujer,16,No,0.0,0.0,0.0,0.0,0.0,No especificado,No especificado,No especificado,No especificado,55.0,22.0,5.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,6.0,0.0,0.0,0.0,24.0,10.0,0.0,0.0,Esta bien el tiempo que le dedico,No aplica (no hizo la actividad),No aplica (no hizo la actividad),Esta bien el tiempo que le dedico,Esta bien el tiempo que le dedico,No aplica (no hizo la actividad),No aplica (no hizo la actividad),Satisfecho(a),Satisfecho(a),Satisfecho(a),Satisfecho(a),Satisfecho(a),Satisfecho(a),Feliz
20,Mujer,54,Si,24.0,4.0,1.0,0.3333333333333333,130000.0,No especificado,No especificado,No especificado,No especificado,30.0,12.0,10.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,33.0,10.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,7.0,2.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.5,0.5,0.0,0.0,37.0,13.0,0.0,0.0,Esta bien el tiempo que le dedico,No aplica (no hizo la actividad),Esta bien el tiempo que le dedico,Quisiera dedicarle mas tiempo,Quisiera dedicarle mas tiempo,Esta bien el tiempo que le dedico,No aplica (no hizo la actividad),Satisfecho(a),Muy satisfecho(a),Muy satisfecho(a),Satisfecho(a),Mas o menos satisfecho(a),Muy satisfecho(a),Feliz
28,Hombre,51,Si,30.0,24.0,10.0,6.0,156000.0,No especificado,No especificado,No especificado,No especificado,40.0,12.0,7.0,3.0,9.5,2.5,0.0,0.0,0.0,0.0,19.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,3.0,0.0,1.0,0.0,2.15,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,28.0,1.5,0.0,0.0,Quisiera dedicarle menos tiempo,No aplica (no hizo la actividad),Quisiera dedicarle mas tiempo,Quisiera dedicarle mas tiempo,Quisiera dedicarle mas tiempo,Quisiera dedicarle menos tiempo,Esta bien el tiempo que le dedico,Satisfecho(a),Muy satisfecho(a),Muy satisfecho(a),Mas o menos satisfecho(a),Satisfecho(a),Satisfecho(a),Muy Feliz
4,Hombre,40,Si,40.0,0.0,0.8333333333333334,0.0,31200.0,Si,Si,Si,Si,40.0,16.0,2.5,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.1666666666666663,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,Esta bien el tiempo que le dedico,No aplica (no hizo la actividad),Quisiera dedicarle mas tiempo,No aplica (no hizo la actividad),No aplica (no hizo la actividad),Esta bien el tiempo que le dedico,No aplica (no hizo la actividad),Satisfecho(a),Muy satisfecho(a),Muy satisfecho(a),Satisfecho(a),Satisfecho(a),Mas o menos satisfecho(a),Feliz
